RING PLANE CROSSING ,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,
"and Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S75,173,Descending Ring Crossing,2012-294T12:37,Oct20,20.24
S76,174,Ascending Ring Crossing,2012-315T17:08,Nov10,10.028
S76,174,Descending Ring Crossing,2012-318T10:49,Nov13,20.185
S76,175,Ascending Ring Crossing,2012-331T17:24,Nov26,7.978
S76,175,Descending Ring Crossing,2012-334T09:25,Nov29,20.179
S76,176,Ascending Ring Crossing,2012-344T17:13,Dec09,8.314
S76,176,Descending Ring Crossing,2012-347T15:52,Dec12,20.174
S76,177,Ascending Ring Crossing,2012-357T23:29,Dec22,8.307
S76,177,Descending Ring Crossing,2012-360T22:14,Dec25,20.196
S76,178,Ascending Ring Crossing,2013-005T06:08,Jan05,8.317
S76,178,Descending Ring Crossing,2013-008T04:57,Jan08,20.207
S77,179,Ascending Ring Crossing,2013-018T13:13,Jan18,8.327
S77,179,Descending Ring Crossing,2013-021T12:07,Jan21,20.219
S77,180,Ascending Ring Crossing,2013-031T20:29,Jan31,8.324
S77,180,Descending Ring Crossing,2013-034T19:24,Feb03,20.227
S77,181,Ascending Ring Crossing,2013-045T03:47,Feb14,8.313
S77,181,Descending Ring Crossing,2013-048T02:23,Feb17,20.171
S77,182,Ascending Ring Crossing,2013-056T19:13,Feb25,8.753
S77,182,Descending Ring Crossing,2013-060T01:20,Mar01,20.203
S77,183,Ascending Ring Crossing,2013-068T18:22,Mar09,8.756
S77,183,Descending Ring Crossing,2013-072T00:04,Mar13,20.133
S77,184,Ascending Ring Crossing,2013-080T17:27,Mar21,8.762
S77,184,Descending Ring Crossing,2013-083T23:12,Mar24,20.137
S78,185,Ascending Ring Crossing,2013-092T16:28,Apr02,8.75
S78,185,Descending Ring Crossing,2013-095T21:58,Apr05,20.107
S78,186,Ascending Ring Crossing,2013-102T08:52,Apr12,6.462
S78,186,Descending Ring Crossing,2013-105T11:28,Apr15,20.116
S78,187,Ascending Ring Crossing,2013-111T22:34,Apr21,6.467
S78,187,Descending Ring Crossing,2013-115T01:13,Apr25,20.12
S78,188,Ascending Ring Crossing,2013-121T12:16,May01,6.463
S78,188,Descending Ring Crossing,2013-124T14:54,May04,20.119
S78,189,Ascending Ring Crossing,2013-131T01:55,May11,6.459
S78,189,Descending Ring Crossing,2013-134T04:33,May14,20.125
S78,190,Ascending Ring Crossing,2013-140T15:40,May20,6.455
